Model,Threshold,Num_Images,TP,FP,TN,FN,Precision,Recall,Specificity,F1_Score,Accuracy,IoU,Dice
deeplabv3_resnet101,0.7,942,537,13513,905089,4438,0.03822064056939502,0.10793969849246231,0.9852896031142976,0.056452036793692505,0.9805636129959927,0.02904586758978797,0.05645203679369251
deeplabv3_resnet50,0.3,942,408,16263,902339,4567,0.024473636854417852,0.08201005025125628,0.9822959235882351,0.03769749607317749,0.9774463850875454,0.019210848479141163,0.037697496073177496
deeplabv3_resnet50,0.5,942,404,16062,902540,4571,0.0245354062917527,0.08120603015075377,0.9825147343463219,0.03768480947716991,0.9776596861983354,0.019204259162428104,0.03768480947716991
deeplabv3_resnet50,0.7,942,390,15681,902921,4585,0.024267313795034533,0.07839195979899498,0.9829294950370236,0.037061674427444645,0.9780570542575227,0.018880712625871418,0.037061674427444645
unet_resnet50_bce_dice,0.3,942,40,1025,917577,4935,0.03755868544600939,0.008040201005025126,0.9988841739948313,0.013245033112582783,0.9935468293385392,0.006666666666666667,0.013245033112582781
unet_resnet50_bce_dice,0.5,942,40,1010,917592,4935,0.0380952380952381,0.008040201005025126,0.9989005031558825,0.013278008298755188,0.9935630705398684,0.006683375104427736,0.013278008298755186
unet_resnet50_bce_dice,0.7,942,40,943,917659,4935,0.04069175991861648,0.008040201005025126,0.9989734400752448,0.01342732460557234,0.9936356145724721,0.006759040216289287,0.01342732460557234
unet_scratch_bce,0.3,942,0,0,918602,4975,0.0,0.0,1.0,0.0,0.9946133348924887,0.0,0.0
unet_scratch_bce,0.5,942,0,0,918602,4975,0.0,0.0,1.0,0.0,0.9946133348924887,0.0,0.0
unet_scratch_bce,0.7,942,0,0,918602,4975,0.0,0.0,1.0,0.0,0.9946133348924887,0.0,0.0
unet_scratch_bce_dice,0.3,942,0,0,918602,4975,0.0,0.0,1.0,0.0,0.9946133348924887,0.0,0.0
unet_scratch_bce_dice,0.5,942,0,0,918602,4975,0.0,0.0,1.0,0.0,0.9946133348924887,0.0,0.0
unet_scratch_bce_dice,0.7,942,0,0,918602,4975,0.0,0.0,1.0,0.0,0.9946133348924887,0.0,0.0
unet_scratch_dice,0.3,942,0,0,918602,4975,0.0,0.0,1.0,0.0,0.9946133348924887,0.0,0.0
unet_scratch_dice,0.5,942,0,0,918602,4975,0.0,0.0,1.0,0.0,0.9946133348924887,0.0,0.0
unet_scratch_dice,0.7,942,0,0,918602,4975,0.0,0.0,1.0,0.0,0.9946133348924887,0.0,0.0
unet_scratch_region_context,0.3,942,74,9783,908819,4901,0.007507355179060566,0.014874371859296482,0.989350121162375,0.009978425026968716,0.9841009466454882,0.005014229570402494,0.009978425026968716
unet_scratch_region_context,0.5,942,74,9636,908966,4901,0.007621009268795056,0.014874371859296482,0.9895101469406773,0.010078311201906706,0.9842601104185141,0.00506467729792622,0.010078311201906708
unet_scratch_region_context,0.7,942,71,8991,909611,4904,0.007834915029794748,0.014271356783919598,0.990212300865881,0.010116121678421316,0.984955233835403,0.005083774881855936,0.010116121678421314
unet_scratch_region_full,0.3,942,0,1770,916832,4975,0.0,0.0,0.9980731589959525,0.0,0.9926968731356455,0.0,0.0
unet_scratch_region_full,0.5,942,0,1714,916888,4975,0.0,0.0,0.9981341211972106,0.0,0.992757506953941,0.0,0.0
unet_scratch_region_full,0.7,942,0,1641,916961,4975,0.0,0.0,0.9982135897809933,0.0,0.9928365474670764,0.0,0.0
unet_scratch_region_tight,0.3,942,2568,241189,677413,2407,0.010535082069438005,0.5161809045226131,0.7374390650140105,0.020648730360387887,0.7362472214011393,0.01043206967712582,0.020648730360387887
unet_scratch_region_tight,0.5,942,2549,238944,679658,2426,0.010555171371426916,0.5123618090452261,0.7398829961180141,0.020684226755603163,0.7386574156783896,0.010450190432069663,0.02068422675560316
unet_scratch_region_tight,0.7,942,2523,234150,684452,2452,0.010660278105233803,0.5071356783919598,0.7451017959899935,0.020881612924584517,0.7438199522075583,0.01055096706743335,0.02088161292458452
